data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6453273,682,SAU4886,4886,"04 May 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Najran,Najran,,"Al Ajashir",17.3138,45.6726,1,"Yemen News Agency SABA; Yemen Data Project","Local partner-Regional","On 4 May, a pro-Houthi engineering team reportedly destroyed by IED a Saudi-affiliated military vehicle in Al Ajashir area of Najran province, southern Saudi Arabia, killing and injuring its passengers. Unknown number of fatalities and injuries coded as 10.",10,1576530940,SAU
6453274,682,SAU4883,4883,"04 May 2019",2019,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Saudi Arabia (2015-)",,1,,,0,10,"Middle East","Saudi Arabia",Asir,"Zahran al Janub",,"Al Mijazah",17.5204,43.5667,1,"Al Masirah; Yemen Data Project","Local partner-Regional","On 4 May, 4 Saudi-led coalition airstrikes reportedly targeted Al Mijazah area of Asir province, southern Saudi Arabia. No fatalities nor injuries reported.",0,1576530940,SAU
6453293,682,SAU4881,4881,"03 May 2019",2019,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Jizan,"Al Harth",,"Jabal Juhfan",16.6836,43.1822,2,"Al Masirah; Yemen Data Project","Local partner-Regional","On 3 May, pro-Houthi forces reportedly fired a Zilzal-1 missile at Saudi-affiliated groups east of Juhfan area of Jizan province, southern Saudi Arabia, killing and injuring several Saudi-affiliated elements. Unknown number of fatalities and injuries coded as 10.",10,1576530940,SAU
6453294,682,SAU4882,4882,"03 May 2019",2019,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Military Forces of Saudi Arabia (2015-)",,1,18,"Middle East","Saudi Arabia",Jizan,Jazan,,Jizan,16.8892,42.5511,3,"Al Masirah; Yemen Data Project","Local partner-Regional","On 3 May, pro-Houthi unmanned drones and artillery reportedly targeted Saudi forces in As Sutlah area of Jizan province, southern Saudi Arabia. No fatalities nor injuries reported.",0,1576530940,SAU
6333325,682,SAU6099,6099,"03 May 2019",2019,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Unidentified Armed Group (International)",,3,"Civilians (Iran)","Government of Iran (1989-); Labour Group (Iran)",7,37,"Middle East","Saudi Arabia",Makkah,Jiddah,,"Coast of Jiddah",21.5262,38.6599,3,"Wall Street Journal",International,"In the beginning of May, according to Iranian state sources the oil tanker 'Happiness 1' belonging to the National Iranian Tanker Company (NITC) was attacked while traveling through the Red Sea off the Saudi Arabian port city of Jeddah. According to the Iranian officials, the vessel was struck in a similar way to another tanker attacked in October, which was attacked by missiles, and suffered 'engine failure and loss of control' No one has claimed responsibility for the attack.",0,1573494625,SAU
6453335,682,SAU4875,4875,"02 May 2019",2019,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Saudi Arabia (2015-)",,1,,,0,10,"Middle East","Saudi Arabia",Asir,"Zahran al Janub",,"Al Mijazah",17.5204,43.5667,1,"Al Masirah; Yemen Data Project","Local partner-Regional","On 2 May, a Saudi-led coalition airstrike reportedly targeted Mijazah area of Asir province, southern Saudi Arabia. No fatalities nor injuries reported.",0,1576530940,SAU
6453336,682,SAU4876,4876,"02 May 2019",2019,1,Battles,"Armed clash","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Asir,"Zahran al Janub",,"Al Raboah",17.576,43.3246,1,"Al Masirah; Yemen Data Project","Local partner-Regional","On 2 May, pro-Houthi forces reportedly attacked Saudi-affiliated groups in Al Raboah area of Asir province, southern Saudi Arabia, killing several of them and destroying an armored military vehicle. Unknown number of fatalities coded as 10.",10,1576530940,SAU
6453396,682,SAU4874,4874,"30 April 2019",2019,1,Battles,"Armed clash","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Najran,Najran,,Najran,17.4933,44.1277,1,"Al Masirah; Yemen Data Project","Local partner-Regional","On April 30, pro-Houthi forces claimed to have attacked Saudi-affiliated forces in Al-Tala'ah area of Najran governorate, with no report of fatalities nor injuries.",0,1576530941,SAU
6453399,682,SAU4872,4872,"30 April 2019",2019,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Military Forces of Saudi Arabia (2015-)","Militia (Pro-Government)",1,18,"Middle East","Saudi Arabia",Najran,Najran,,Akifah,17.4953,43.7585,2,"Al Masirah; Yemen Data Project","Local partner-Regional","On April 30, pro-Houthi forces claimed to have fired a Zilzal-1 type ballistic missile at Saudi and Saudi-affiliated forces in Akifah area of Najran governorate, injuring a number of fighters.",0,1576530941,SAU
6453400,682,SAU4873,4873,"30 April 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Najran,Najran,,"Al Ajashir",17.3138,45.6726,1,"Al Masirah; Yemen Data Project","Local partner-Regional","On April 30, pro-Houthi forces claimed to have destroyed two military vehicles belonging to Saudi-affiliated forces with explosive devices in Al-Ajashir desert area of Najran governorate, killing and injuring those on board. Unknown reported fatalities coded as 10",10,1576530941,SAU
